Baboon, chacma;Papio ursinus
Baboon, gelada;Theropithecus gelada
Baboon, olive;Papio cynocephalus
Baboon, savanna;Papio cynocephalus
Baboon, yellow;Papio cynocephalus
Badger, american;Taxidea taxus
Badger, eurasian;Meles meles
Badger, european;Meles meles
Badger, honey;Mellivora capensis
Bahama pintail;Anas bahamensis
Bald eagle;Haliaeetus leucocephalus
Baleen whale;Eubalaena australis
Banded mongoose;Mungos mungo
Bandicoot, long-nosed;Perameles nasuta
Bandicoot, short-nosed;Isoodon obesulus
Bandicoot, southern brown;Isoodon obesulus
Barasingha deer;Cervus duvauceli
Barbet, black-collared;Lybius torquatus
Barbet, crested;Trachyphonus vaillantii
Barbet, levaillant's;Trachyphonus vaillantii
Bare-faced go away bird;Lorythaixoides concolor
Barking gecko;Phylurus milli
Barrows goldeneye;Bucephala clangula
Bat, asian false vampire;Megaderma spasma
Bat, little brown;Myotis lucifugus
Bat, madagascar fruit;Pteropus rufus
Bat-eared fox;Otocyon megalotis
Bateleur eagle;Terathopius ecaudatus
Bear, american black;Ursus americanus
Bear, black;Ursus americanus
Bear, grizzly;Ursus arctos
Bear, polar;Ursus maritimus
Bear, sloth;Melursus ursinus
Beaver, american;Castor canadensis
Beaver, eurasian;Castor fiber
Beaver, european;Castor fiber
Beaver, north american;Castor canadensis
Bee-eater, carmine;Merops nubicus
Bee-eater, nubian;Merops nubicus
Bee-eater, white-fronted;Merops bullockoides
Beisa oryx;Oryx gazella
Bengal vulture;Gyps bengalensis
Bennett's wallaby;Macropus rufogriseus
Bent-toed gecko;Cyrtodactylus louisiadensis
Bettong, brush-tailed;Bettongia penicillata
Bird, bare-faced go away;Lorythaixoides concolor
Bird, black-throated butcher;Cracticus nigroagularis
Bird, magnificent frigate;Fregata magnificans
Bird, pied butcher;Cracticus nigroagularis
Bird, red-billed tropic;Phaethon aethereus
Bird, secretary;Sagittarius serpentarius
Bison, american;Bison bison
Black and white colobus;Colobus guerza
Black bear;Ursus americanus
Black curlew;Haematopus ater
Black kite;Milvus migrans
Black rhinoceros;Diceros bicornis
Black spider monkey;Ateles paniscus
Black swan;Cygnus atratus
Black vulture;Aegypius tracheliotus
Black-backed jackal;Canis mesomelas
Black-backed magpie;Gymnorhina tibicen
Black-capped capuchin;Cebus apella
Black-capped chickadee;Parus atricapillus
Black-cheeked waxbill;Estrilda erythronotos
Black-collared barbet;Lybius torquatus
Black-crowned crane;Balearica pavonina
Black-crowned night heron;Nycticorax nycticorax
Black-eyed bulbul;Pycnonotus barbatus
Black-faced kangaroo;Macropus fuliginosus
Black-footed ferret;Mustela nigripes
Black-fronted bulbul;Pycnonotus nigricans
Black-necked stork;Ephippiorhynchus mycteria
Black-tailed deer;Odocoileus hemionus
