Ocelot;Felis pardalis
Olive baboon;Papio cynocephalus
Onager;Equus hemionus
Openbill stork;Anastomus oscitans
Openbill, asian;Anastomus oscitans
Opossum, american virginia;Didelphis virginiana
Orca;Orcinus orca
Oribi;Ourebia ourebi
Oriental short-clawed otter;Aonyx cinerea
Oriental white-backed vulture;Gyps bengalensis
Ornate rock dragon;Ctenophorus ornatus
Oryx, beisa;Oryx gazella
Oryx, fringe-eared;Oryx gazella callotis
Osprey;Pandon haliaetus
Ostrich;Struthio camelus
Otter, african clawless;Aonyx capensis
Otter, brazilian;Pteronura brasiliensis
Otter, canadian river;Lutra canadensis
Otter, cape clawless;Aonyx capensis
Otter, giant;Pteronura brasiliensis
Otter, north american river;Lutra canadensis
Otter, oriental short-clawed;Aonyx cinerea
Otter, small-clawed;Aonyx cinerea
Ovenbird;Seiurus aurocapillus
Owl, australian masked;Tyto novaehollandiae
Owl, burrowing;Speotyte cuniculata
Owl, great horned;Bubo virginianus
Owl, madagascar hawk;Ninox superciliaris
Owl, snowy;Nyctea scandiaca
Owl, white-browed;Ninox superciliaris
Ox, musk;Ovibos moschatus
Oystercatcher, blackish;Haematopus ater
